2015-10-15 11:45:03, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/App/Lib/Service/PayGateway/UpGatewayPayService.class.php ], Line[17]------ ============处理前台请求开始=============== 
2015-10-15 11:45:03, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[16]------ =====签名报文开始====== 
2015-10-15 11:45:03, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[23]------ 签名key=val&...串 >accessType=0&backUrl=http://shwguan.com/yinlian.php&bizType=000201&certId=40220995861346480087409489142384722381&channelType=07&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://www.tp.com/index.php/order/UnionPayFrontReceive&merId=777290058119902&orderId=970089467709&reqReserved= 透传信息&signMethod=01&txnAmt=1&txnSubType=01&txnTime=20151015114503&txnType=01&version=5.0.0 
2015-10-15 11:45:03, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[26]------ 摘要sha1x16 >2a45ad3383907ae3d54be24e5d0b051db3570ed7 
2015-10-15 11:45:03, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[34]------ 签名串为 >DiImFhjOM8Hsh7nfrIXV6ozNgvgMlDpZ+0jAZYplkZuGgnYPgrU9CpSodbUchA4t0ZPIVL+OBF8RiG8IpOUOuUO934j40mTZiRFVAuJhjdMUbIHDspxSm5cm9YgAbN5jEsMEHr9cjyMaCInI94NuRTuUFTR3eAiVh50MdxcLSAc= 
2015-10-15 11:45:03, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[39]------ =====签名报文结束====== 
2015-10-15 11:48:28, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/App/Lib/Service/PayGateway/UpGatewayPayService.class.php ], Line[17]------ ============处理前台请求开始=============== 
2015-10-15 11:48:36, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/App/Lib/Service/PayGateway/UpGatewayPayService.class.php ], Line[17]------ ============处理前台请求开始=============== 
2015-10-15 15:54:30, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/App/Lib/Service/PayGateway/UpGatewayPayService.class.php ], Line[17]------ ============处理前台请求开始=============== 
2015-10-15 15:54:30, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[16]------ =====签名报文开始====== 
2015-10-15 15:54:30, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[23]------ 签名key=val&...串 >accessType=0&backUrl=http://shwguan.com/yinlian.php&bizType=000201&certId=40220995861346480087409489142384722381&channelType=07&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://www.tp.com/index.php/order/UnionPayFrontReceive&merId=777290058119902&orderId=570173887405&reqReserved= 透传信息&signMethod=01&txnAmt=1&txnSubType=01&txnTime=20151015155430&txnType=01&version=5.0.0 
2015-10-15 15:54:30, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[26]------ 摘要sha1x16 >79bafa27d9a39cad72cb1fb797f7068b94c37013 
2015-10-15 15:54:30, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[34]------ 签名串为 >KgDjWfItFGQN8B9203+/yLQPfNxp0vW3PV3DmptXIZ3EJE2x5HPUTu4IOsa42IS65JSKqdrDHBzqNP6pRbEbB2Kk+hBzWm/LGzFjot9iBKAd1eWIPJswmsxjT71JjtoGi5uVJfcHNcrvmCdjKqb8+2zWeXo19mQnbhWxV00zN4A= 
2015-10-15 15:54:30, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[39]------ =====签名报文结束====== 
